TrafficIndexLive,JamsCount,JamsDelay,JamsLength,TrafficIndexWeekAgo,TravelTimeHistoric,TravelTimeLive,date,Time
5.0,33.0,115.0,13.7,6.0,65.74164418169507,63.426307744603264,2022-12-16,12:46:30
6.0,57.0,197.6,39.4,11.0,67.6485221092795,64.49547755803391,2022-12-16,13:46:30
10.0,78.0,311.7,72.7,17.0,69.63152239994169,66.21667629357742,2022-12-16,14:46:30
13.0,127.0,508.1,105.1,17.0,74.019091007408,71.39111280033008,2022-12-16,15:46:30
21.0,184.0,838.1,153.4,26.0,75.81987523700995,78.57015294296717,2022-12-16,16:46:00
22.0,207.0,937.6,162.0,25.0,72.97420997998498,74.71248267526822,2022-12-16,17:01:00
24.0,161.0,664.1,156.1,25.0,74.33437957770995,77.97157411210966,2022-12-16,18:31:00
24.0,160.0,656.4,121.9,23.0,78.24602038059854,79.64678880263651,2022-12-16,19:01:00
30.0,168.0,658.1,139.7,31.0,72.29956562277604,80.15647214220284,2022-12-16,20:46:30
28.0,176.0,613.3,140.7,34.0,76.81527239513854,78.93199615702444,2022-12-16,21:01:30
24.0,150.0,540.6,103.1,32.0,78.86098531802222,77.45820887354697,2022-12-16,22:01:30
23.0,116.0,380.3,94.1,18.0,77.64181908829828,76.40156552495917,2022-12-16,23:31:30
23.0,91.0,332.4,96.8,14.0,76.6514295941876,72.43640721991295,2022-12-17,00:01:30
17.0,67.0,228.2,50.0,23.0,72.04448838092615,72.95477764624331,2022-12-17,01:01:30
12.0,47.0,192.3,27.6,20.0,71.40561392873795,66.05959825665184,2022-12-17,02:01:30
7.0,29.0,105.0,13.5,25.0,66.32438308846113,60.43776465536941,2022-12-17,03:01:30
3.0,23.0,78.4,8.8,28.0,73.3375728782892,57.68796995879562,2022-12-17,04:01:30
1.0,12.0,39.6,4.9,24.0,68.15895152880884,55.73879435165436,2022-12-17,05:01:30
2.0,8.0,38.6,10.9,30.0,70.84477090006558,57.10292739703846,2022-12-17,06:01:30
2.0,13.0,46.6,11.6,34.0,70.62341106685601,58.27776763368912,2022-12-17,07:01:30
3.0,16.0,81.3,6.8,34.0,75.72505582817931,59.60790204473998,2022-12-17,08:31:30
7.0,43.0,149.4,29.4,34.0,72.98530039117972,63.70970889538196,2022-12-17,09:46:30
11.0,83.0,313.0,63.0,31.0,73.27790741872346,71.89633037010267,2022-12-17,10:46:30
11.0,89.0,333.6,66.7,26.0,73.13742229177394,69.82209265795734,2022-12-17,11:01:30
12.0,91.0,389.9,72.4,26.0,71.54030472991964,70.19914047186073,2022-12-17,12:01:30
12.0,77.0,242.6,55.9,20.0,72.69215494884924,70.40955116201887,2022-12-17,13:31:30
15.0,77.0,285.3,97.3,22.0,77.51396869738441,68.75682495386465,2022-12-17,14:46:30
22.0,155.0,685.7,182.9,24.0,72.60201023070552,78.03644655575707,2022-12-17,15:46:30
40.0,334.0,1379.0,317.4,37.0,79.60539218891309,91.73010609147595,2022-12-17,16:46:00
43.0,341.0,1528.5,360.2,39.0,85.87851117027228,93.11735438935057,2022-12-17,17:16:00
41.0,314.0,1339.9,315.1,40.0,84.20914165733157,91.84429900846753,2022-12-17,18:16:00
36.0,226.0,907.7,199.8,32.0,73.96387258801082,84.55764746709438,2022-12-17,19:01:30
31.0,215.0,803.5,178.0,28.0,76.97131247502077,82.37372688121242,2022-12-17,20:46:30
31.0,187.0,689.3,171.3,29.0,76.03338849455591,81.53450780701054,2022-12-17,21:01:30
28.0,172.0,574.6,152.0,24.0,78.01171769075934,79.46157392005766,2022-12-17,22:01:30
23.0,99.0,307.5,90.1,15.0,73.23926404642364,71.80362171560338,2022-12-17,23:01:30
17.0,47.0,149.5,50.1,11.0,72.6849073286207,67.77998331632543,2022-12-18,00:01:30
10.0,25.0,84.2,20.9,9.0,68.01781550394217,64.37039001367069,2022-12-18,01:01:30
5.0,22.0,75.4,9.2,5.0,67.0308525233734,63.546636805637135,2022-12-18,02:01:30
3.0,9.0,30.3,5.8,3.0,62.30869982024808,57.38170036640993,2022-12-18,03:01:30
1.0,5.0,15.1,3.3,1.0,58.8965416510945,55.08608235999331,2022-12-18,04:01:30
0.0,3.0,11.7,0.6,0.0,55.1091304840294,52.84511482110096,2022-12-18,05:01:30
6.0,25.0,95.9,33.0,25.0,68.10420006504316,61.591345038592365,2022-12-18,06:46:30
15.0,60.0,219.9,74.6,61.0,76.33482124794295,66.22299579253512,2022-12-18,07:46:30
16.0,63.0,242.0,88.6,66.0,75.16033826554641,67.22871591077134,2022-12-18,08:01:30
18.0,64.0,219.8,80.2,53.0,77.18842437215956,65.49213836417633,2022-12-18,09:16:30
18.0,76.0,283.1,101.3,42.0,75.310736976343,70.0435852038473,2022-12-18,10:01:30
17.0,114.0,370.2,92.0,27.0,73.51972774376316,75.58513406021288,2022-12-18,11:01:30
17.0,100.0,369.9,97.5,30.0,73.10200374446046,73.26551792131849,2022-12-18,12:01:30
16.0,79.0,316.8,79.6,42.0,74.57597459348364,72.24539430663529,2022-12-18,13:31:30
26.0,173.0,691.3,198.4,47.0,75.19225423331626,81.27333676975795,2022-12-18,14:46:30
33.0,234.0,937.0,270.3,51.0,77.01905137996278,83.24145880678527,2022-12-18,15:46:30
57.0,443.0,2223.5,474.4,64.0,89.88300338115086,102.68301267331981,2022-12-18,16:46:30
70.0,534.0,2861.4,543.6,67.0,91.36509234216392,109.02341325186501,2022-12-18,17:31:00
71.0,547.0,2825.2,537.4,68.0,91.9083330974909,108.729750941985,2022-12-18,18:01:00
40.0,137.0,527.5,142.1,57.0,77.74972446297198,78.34438765727202,2022-12-18,19:01:30
15.0,48.0,160.0,23.2,40.0,74.9941560356295,65.89363784658299,2022-12-18,20:01:30
19.0,93.0,281.7,82.3,31.0,69.37162194629836,72.6002162466755,2022-12-18,21:46:30
22.0,119.0,364.8,112.3,25.0,74.7108861155388,73.99454375037001,2022-12-18,22:31:30
18.0,68.0,204.7,55.6,18.0,72.96884407938248,72.78282068307634,2022-12-18,23:01:30
10.0,28.0,81.5,10.8,11.0,69.0371226175793,65.49883694768293,2022-12-19,00:01:30
6.0,13.0,41.4,10.8,6.0,67.91980520238431,59.78963458769198,2022-12-19,01:16:30
3.0,12.0,37.4,7.0,4.0,63.39819421972989,59.56453156962458,2022-12-19,02:01:30
1.0,5.0,20.4,2.9,2.0,58.686690850046226,55.283357853454504,2022-12-19,03:01:30
0.0,6.0,21.7,2.4,0.0,56.22253723435119,54.386862636371674,2022-12-19,04:01:30
0.0,4.0,19.9,0.9,0.0,57.6207876807811,54.03915595191486,2022-12-19,05:01:30
23.0,161.0,632.8,175.4,26.0,72.99410188298683,76.50305433153441,2022-12-19,06:46:30
52.0,295.0,1454.7,308.1,61.0,78.47432461640018,94.30056501064072,2022-12-19,07:46:30
54.0,253.0,1307.7,292.9,63.0,80.71678502968419,92.62521268914209,2022-12-19,08:01:30
39.0,150.0,701.5,173.8,50.0,74.59525977775472,80.89038538251017,2022-12-19,09:01:30
28.0,130.0,540.1,123.8,38.0,73.75010683192464,77.95855020439117,2022-12-19,10:01:30
21.0,123.0,452.7,128.2,25.0,73.60088875618683,75.22266311093115,2022-12-19,11:46:30
24.0,214.0,842.5,161.0,28.0,78.55115333302504,81.22310285666897,2022-12-19,12:46:30
34.0,265.0,1176.6,222.8,38.0,77.3790408031617,85.43262939268224,2022-12-19,13:46:30
43.0,244.0,1431.4,303.0,46.0,78.40583247812329,94.23081058160327,2022-12-19,14:46:30
50.0,303.0,1561.7,363.0,52.0,81.93718263813273,92.80450646045048,2022-12-19,15:46:30
62.0,426.0,2388.0,466.0,66.0,88.66442410148866,103.12060409210935,2022-12-19,16:46:30
63.0,470.0,2562.5,459.5,70.0,89.87414546789974,103.2443175203114,2022-12-19,17:16:30
59.0,375.0,1831.5,390.1,69.0,86.20855425764827,97.02083981921423,2022-12-19,18:01:30
45.0,244.0,1029.4,227.2,58.0,79.25878611068738,86.59839170577585,2022-12-19,19:01:30
32.0,239.0,854.9,172.3,43.0,81.47172454986011,83.44488899697637,2022-12-19,20:01:30
26.0,149.0,516.5,108.5,33.0,74.94400169570591,78.31181542562197,2022-12-19,21:01:30
22.0,103.0,312.5,86.0,25.0,70.6628952424974,75.72598952285004,2022-12-19,22:01:30
16.0,59.0,206.5,38.5,18.0,74.77302277409176,71.3628284809452,2022-12-19,23:01:30
10.0,35.0,117.8,15.8,11.0,68.31997955432925,66.51332147868982,2022-12-20,00:01:30
5.0,25.0,76.3,9.4,6.0,66.71980300771972,62.75217441762194,2022-12-20,01:01:30
3.0,7.0,24.5,2.6,3.0,63.60263381640787,58.50026236151655,2022-12-20,02:01:30
1.0,10.0,38.5,7.9,1.0,59.76408688923145,57.065721707241735,2022-12-20,03:01:30
0.0,6.0,30.2,2.4,0.0,61.059652692425956,54.77944453897943,2022-12-20,04:01:30
